Year,Province,Value
1924,Saskatchewan,1.757005
1925,Alberta,1.674435
1925,British Columbia,0.738816
1925,Manitoba,1.501551
1925,New Brunswick,0.666766
1925,Nova Scotia,0.661841
1925,Ontario,2.642612
1925,Prince Edward Island,0.381932
1925,Quebec,2.25642
1925,Saskatchewan,1.850755
1926,Alberta,1.643842
1926,British Columbia,0.738816
1926,Manitoba,1.491836
1926,New Brunswick,0.666766
1926,Nova Scotia,0.661841
1926,Ontario,2.642612
1926,Prince Edward Island,0.381932
1926,Quebec,2.25642
1926,Saskatchewan,2.032576
1927,Alberta,1.643842
1927,British Columbia,0.738816
1927,Manitoba,1.491836
1927,New Brunswick,1.266766
1927,Nova Scotia,1.536841
1927,Ontario,2.642612
1927,Prince Edward Island,0.506932
1927,Quebec,2.25642
1927,Saskatchewan,2.032575
1928,Alberta,1.657183
1928,British Columbia,0.738817
1928,Manitoba,1.500214
1928,New Brunswick,1.266766
1928,Nova Scotia,1.536841
1928,Ontario,2.642612
1928,Prince Edward Island,0.506932
1928,Quebec,2.25642
1928,Saskatchewan,2.047935
1929,Alberta,1.576685
1929,British Columbia,0.738817
1929,Manitoba,1.508591
1929,New Brunswick,1.266766
1929,Nova Scotia,1.536841
1929,Ontario,2.642612
1929,Prince Edward Island,0.506932
1929,Quebec,2.25642
1929,Saskatchewan,2.063295
1930,Alberta,3.271799
1930,British Columbia,2.695658
1930,Manitoba,3.908588
1930,New Brunswick,1.770766
1930,Nova Scotia,2.328841
1930,Ontario,10.851418
1930,Prince Edward Island,0.601932
1930,Quebec,5.54842
1930,Saskatchewan,4.213236
1931,Alberta,5.202074
1931,British Columbia,5.502018
1931,Manitoba,5.766714
1931,New Brunswick,2.05604
1931,Nova Scotia,2.606841
1931,Ontario,18.453097
1931,Prince Edward Island,0.635932
1931,Quebec,8.029014
1931,Saskatchewan,11.119405
1932,Alberta,3.876833
1932,British Columbia,5.32136
1932,Manitoba,4.81799
1932,New Brunswick,1.51304
1932,Nova Scotia,2.099256
1932,Ontario,18.125741
1932,Prince Edward Island,0.531932
1932,Quebec,6.845014
1932,Saskatchewan,9.127866
1933,Alberta,4.242334102
1933,British Columbia,5.582694957
1933,Manitoba,5.565281063
1933,New Brunswick,1.88604
1933,Nova Scotia,2.789048
1933,Ontario,22.87897457
1933,Prince Edward Island,0.605932
1933,Quebec,10.889014
1933,Saskatchewan,6.183512496
1934,Alberta,4.261356898
1934,British Columbia,5.361529043
1934,Manitoba,5.451007937
1934,New Brunswick,1.71804
1934,Nova Scotia,3.256197
1934,Ontario,21.54361543
1934,Prince Edward Island,0.766522667
1934,Quebec,8.938014
1934,Saskatchewan,11.2480305
1935,Alberta,4.737939
1935,British Columbia,5.534382
1935,Manitoba,7.038435
1935,New Brunswick,2.65304
1935,Nova Scotia,4.878827
1935,Ontario,27.38952
1935,Prince Edward Island,1.087042
1935,Quebec,10.095014
1935,Saskatchewan,12.437255
1936,Alberta,5.779883
1936,British Columbia,6.913912
1936,Manitoba,8.159652
1936,New Brunswick,3.062312
1936,Nova Scotia,4.799097
1936,Ontario,25.703021
1936,Prince Edward Island,1.107465
1936,Quebec,14.193014
1936,Saskatchewan,13.041547
1937,Alberta,5.632473
1937,British Columbia,6.231684
1937,Manitoba,7.512419
1937,New Brunswick,3.400897
1937,Nova Scotia,4.359427
1937,Ontario,19.539409
1937,Prince Edward Island,0.947585
1937,Quebec,18.365736
1937,Saskatchewan,13.580037
1938,Alberta,4.880226
1938,British Columbia,5.642806
1938,Manitoba,6.490826
1938,New Brunswick,3.43347
1938,Nova Scotia,4.215094
1938,Ontario,19.955369
1938,Prince Edward Island,0.921557
1938,Quebec,15.404095
1938,Saskatchewan,10.346696
1939,Alberta,4.770593
1939,British Columbia,6.667145
1939,Manitoba,6.627849
1939,New Brunswick,3.758025
1939,Nova Scotia,4.33657
1939,Ontario,20.431544
1939,Prince Edward Island,0.900084
1939,Quebec,15.710963
1939,Saskatchewan,8.92114
1940,Alberta,4.08544
1940,British Columbia,5.080907
1940,Manitoba,5.643019
1940,New Brunswick,3.47355
1940,Nova Scotia,4.070719
1940,Ontario,15.950082
1940,Prince Edward Island,0.893873
1940,Quebec,13.359166
1940,Saskatchewan,7.200514
1941,Alberta,3.615927
1941,British Columbia,4.155861
1941,Manitoba,4.616517
1941,New Brunswick,3.309188
1941,Nova Scotia,4.045591
1941,Ontario,13.169905
1941,Prince Edward Island,0.872135
1941,Quebec,9.95471
1941,Saskatchewan,5.672623
1942,Alberta,7.8074
1942,British Columbia,18.5585
1942,Manitoba,10.4039
1942,New Brunswick,6.9988
1942,Nova Scotia,6.8082
1942,Ontario,49.1601
1942,Prince Edward Island,1.3937
1942,Quebec,34.8129
1942,Saskatchewan,10.4026
1943,Alberta,8.108
1943,British Columbia,17.1142
1943,Manitoba,9.7881
1943,New Brunswick,6.9651
1943,Nova Scotia,6.83
1943,Ontario,52.6367
1943,Prince Edward Island,1.4241
1943,Quebec,35.8405
1943,Saskatchewan,11.2915
1944,Alberta,8.4739
1944,British Columbia,17.3101
1944,Manitoba,10.5474
1944,New Brunswick,7.514
1944,Nova Scotia,7.3044
1944,Ontario,52.9371
1944,Prince Edward Island,1.4636
1944,Quebec,36.0862
1944,Saskatchewan,11.2056
1945,Alberta,20.1785
1945,British Columbia,17.5099
1945,Manitoba,10.693
1945,New Brunswick,7.6151
1945,Nova Scotia,7.4386
1945,Ontario,50.3331
1945,Prince Edward Island,1.5041
1945,Quebec,35.8492
1945,Saskatchewan,11.3879
1946,Alberta,12.1603
1946,British Columbia,17.7937
1946,Manitoba,10.9788
1946,New Brunswick,12.4497
1946,Nova Scotia,11.9517
1946,Ontario,51.7127
1946,Prince Edward Island,2.0443
1946,Quebec,39.4788
1946,Saskatchewan,11.8862
1947,Alberta,28.6004
1947,British Columbia,25.4529
1947,Manitoba,19.4439
1947,New Brunswick,11.9278
1947,Nova Scotia,14.3897
1947,Ontario,52.9528
1947,Prince Edward Island,2.4727
1947,Quebec,43.5849
1947,Saskatchewan,28.047
1948,Alberta,21.0705
1948,British Columbia,40.8446
1948,Manitoba,20.3497
1948,New Brunswick,15.2296
1948,Nova Scotia,18.3708
1948,Ontario,26.9708
1948,Prince Edward Island,3.2807
1948,Quebec,25.3815
1948,Saskatchewan,21.7599
1949,Alberta,22
1949,British Columbia,30.9
1949,Manitoba,20.1
1949,New Brunswick,16.1
1949,Newfoundland and Labrador,16.2
1949,Nova Scotia,19.4
1949,Ontario,37.6
1949,Prince Edward Island,3.6
1949,Quebec,34
1949,Saskatchewan,22
1950,Alberta,25.9
1950,British Columbia,36.1
1950,Manitoba,36.6
1950,New Brunswick,18.6
1950,Newfoundland and Labrador,21
1950,Nova Scotia,21.7
1950,Ontario,43.2
1950,Prince Edward Island,4.5
1950,Quebec,38.1
1950,Saskatchewan,25.9
1951,Alberta,25.9
1951,British Columbia,36.8
1951,Manitoba,24.1
1951,New Brunswick,18.6
1951,Newfoundland and Labrador,20.9
1951,Nova Scotia,22
1951,Ontario,43.6
1951,Prince Edward Island,4.3
1951,Quebec,35.2
1951,Saskatchewan,26.5
1952,Alberta,42.3
1952,British Columbia,57.1
1952,Manitoba,32.4
1952,New Brunswick,22.9
1952,Newfoundland and Labrador,22.6
1952,Nova Scotia,25.4
1952,Ontario,148.8
1952,Prince Edward Island,5.4
1952,Quebec,22
1952,Saskatchewan,33.5
1953,Alberta,39.8
1953,British Columbia,55.2
1953,Manitoba,32.4
1953,New Brunswick,22.8
1953,Newfoundland and Labrador,21.2
1953,Nova Scotia,25
1953,Ontario,156.8
1953,Prince Edward Island,5
1953,Quebec,24.7
1953,Saskatchewan,32.8
1954,Alberta,41.8
1954,British Columbia,59
1954,Manitoba,33.9
1954,New Brunswick,23.2
1954,Newfoundland and Labrador,22.4
1954,Nova Scotia,26.3
1954,Ontario,170.2
1954,Prince Edward Island,5.1
1954,Quebec,24
1954,Saskatchewan,35.1
1955,Alberta,42.3
1955,British Columbia,58.4
1955,Manitoba,33.2
1955,New Brunswick,23.5
1955,Newfoundland and Labrador,22.7
1955,Nova Scotia,26.7
1955,Ontario,166.5
1955,Prince Edward Island,5.6
1955,Quebec,26.3
1955,Saskatchewan,34.9
1956,Alberta,48.4
1956,British Columbia,75.9
1956,Manitoba,38.5
1956,New Brunswick,28.4
1956,Newfoundland and Labrador,24.4
1956,Nova Scotia,29.4
1956,Ontario,191
1956,Prince Edward Island,4.9
1956,Quebec,28
1956,Saskatchewan,37.3
1957,Alberta,60.1
1957,British Columbia,89.8
1957,Manitoba,42.6
1957,New Brunswick,32.6
1957,Newfoundland and Labrador,25.1
1957,Nova Scotia,37.1
1957,Ontario,86
1957,Prince Edward Island,6.7
1957,Quebec,72.8
1957,Saskatchewan,43.8
1958,Alberta,72.2
1958,British Columbia,110.4
1958,Manitoba,51.7
1958,New Brunswick,49
1958,Newfoundland and Labrador,55.2
1958,Nova Scotia,47.6
1958,Ontario,167.4
1958,Prince Edward Island,8.9
1958,Quebec,98.3
1958,Saskatchewan,53.7
1959,Alberta,89.9
1959,British Columbia,124.5
1959,Manitoba,63.9
1959,New Brunswick,54.6
1959,Newfoundland and Labrador,55.1
1959,Nova Scotia,61.8
1959,Ontario,251.3
1959,Prince Edward Island,11.4
1959,Quebec,119.8
1959,Saskatchewan,68.4
1960,Alberta,92.4
1960,British Columbia,138.7
1960,Manitoba,68
1960,New Brunswick,56.1
1960,Newfoundland and Labrador,56.7
1960,Nova Scotia,65.4
1960,Ontario,272.6
1960,Prince Edward Island,12.1
1960,Quebec,141.6
1960,Saskatchewan,69
1961,Alberta,103.9
1961,British Columbia,149.4
1961,Manitoba,73.4
1961,New Brunswick,58
1961,Newfoundland and Labrador,58.9
1961,Nova Scotia,67.8
